,created_at,display_text_range,favorite_count,id,lang,retweet_count,source,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,p1,p1_conf,p1_dog,DayofWeekCreate
0,2017-08-01 16:23:56,85,39467,892420643555336193,en,8853,Twitter for iPhon,13,10,Phineas,None,None,None,None,orange,0.0970486,False,Tuesday
1,2017-08-01 00:17:27,138,33819,892177421306343426,en,6514,Twitter for iPhon,13,10,Tilly,None,None,None,None,Chihuahua,0.323581,True,Tuesday
2,2017-07-31 00:18:03,121,25461,891815181378084864,en,4328,Twitter for iPhon,12,10,Archie,None,None,None,None,Chihuahua,0.716012,True,Monday
3,2017-07-30 15:58:51,79,42908,891689557279858688,en,8964,Twitter for iPhon,13,10,Darla,None,None,None,None,paper_towel,0.17027799999999998,False,Sunday
4,2017-07-29 16:00:24,138,41048,891327558926688256,en,9774,Twitter for iPhon,12,10,Franklin,None,None,None,None,basset,0.555712,True,Saturday
5,2017-07-29 00:08:17,138,20562,891087950875897856,en,3261,Twitter for iPhon,13,10,None,None,None,None,None,Chesapeake_Bay_retriever,0.425595,True,Saturday
6,2017-07-28 16:27:12,140,12041,890971913173991426,en,2158,Twitter for iPhon,13,10,Jax,None,None,None,None,Appenzeller,0.34170300000000003,True,Friday
7,2017-07-28 00:22:40,118,56848,890729181411237888,en,16716,Twitter for iPhon,13,10,None,None,None,None,None,Pomeranian,0.566142,True,Friday
8,2017-07-27 16:25:51,122,28226,890609185150312448,en,4429,Twitter for iPhon,13,10,Zoey,None,None,None,None,Irish_terrier,0.487574,True,Thursday
9,2017-07-26 15:59:51,133,32467,890240255349198849,en,7711,Twitter for iPhon,14,10,Cassie,doggo,None,None,None,Pembroke,0.511319,True,Wednesday
10,2017-07-26 00:31:25,130,31166,890006608113172480,en,7624,Twitter for iPhon,13,10,Koda,None,None,None,None,Samoyed,0.957979,True,Wednesday
11,2017-07-25 16:11:53,107,28268,889880896479866881,en,5156,Twitter for iPhon,13,10,Bruno,None,None,None,None,French_bulldog,0.377417,True,Tuesday
12,2017-07-25 01:55:32,106,38818,889665388333682689,en,8538,Twitter for iPhon,13,10,None,None,None,None,puppo,Pembroke,0.966327,True,Tuesday
13,2017-07-25 00:10:02,91,27672,889638837579907072,en,4735,Twitter for iPhon,12,10,Ted,None,None,None,None,French_bulldog,0.99165,True,Tuesday
14,2017-07-24 17:02:04,118,15359,889531135344209921,en,2321,Twitter for iPhon,13,10,Stuart,None,None,None,puppo,golden_retriever,0.953442,True,Monday
15,2017-07-24 00:19:32,138,25652,889278841981685760,en,5637,Twitter for iPhon,13,10,Oliver,None,None,None,None,whippet,0.626152,True,Monday
16,2017-07-23 00:22:39,86,29611,888917238123831296,en,4709,Twitter for iPhon,12,10,Jim,None,None,None,None,golden_retriever,0.714719,True,Sunday
17,2017-07-22 16:56:37,128,26080,888804989199671297,en,4559,Twitter for iPhon,13,10,Zeke,None,None,None,None,golden_retriever,0.46976,True,Saturday
18,2017-07-22 00:23:06,87,20290,888554962724278272,en,3732,Twitter for iPhon,13,10,Ralphus,None,None,None,None,Siberian_husky,0.700377,True,Saturday
19,2017-07-20 16:49:33,127,22201,888078434458587136,en,3653,Twitter for iPhon,12,10,Gerald,None,None,None,None,French_bulldog,0.995026,True,Thursday
20,2017-07-19 16:06:48,127,30779,887705289381826560,en,5609,Twitter for iPhon,13,10,Jeffrey,None,None,None,None,basset,0.821664,True,Wednesday
21,2017-07-19 03:39:09,108,46959,887517139158093824,en,12082,Twitter for iPhon,14,10,such,None,None,None,None,limousine,0.130432,False,Wednesday
22,2017-07-19 00:47:34,99,69871,887473957103951883,en,18781,Twitter for iPhon,13,10,Canela,None,None,None,None,Pembroke,0.809197,True,Wednesday
23,2017-07-18 16:08:03,88,34222,887343217045368832,en,10737,Twitter for iPhon,13,10,None,None,None,None,None,Mexican_hairless,0.330741,True,Tuesday
24,2017-07-18 00:07:08,129,31061,887101392804085760,en,6167,Twitter for iPhon,12,10,None,None,None,None,None,Samoyed,0.733942,True,Tuesday
25,2017-07-17 16:17:36,101,35859,886983233522544640,en,8084,Twitter for iPhon,13,10,Maya,None,None,None,None,Chihuahua,0.793469,True,Monday
26,2017-07-16 23:58:41,121,12306,886736880519319552,en,3443,Twitter for iPhon,13,10,Mingus,None,None,None,None,kuvasz,0.309706,True,Sunday
27,2017-07-16 20:14:00,71,22798,886680336477933568,en,4610,Twitter for iPhon,13,10,Derek,None,None,None,None,convertible,0.738995,False,Sunday
